adduser	3.118ubuntu5
adwaita-icon-theme	41.0-1ubuntu1
aglfn	1.7+git20191031.4036a9c-2
alsa-topology-conf	1.2.5.1-2
alsa-ucm-conf	1.2.6.3-1ubuntu1.8
apparmor	3.0.4-2ubuntu2.2
apport	2.20.11-0ubuntu82.5
apport-symptoms	0.24
apt	2.4.10
apt-utils	2.4.10
at-spi2-core	2.44.0-3
autoconf	2.71-2
automake	1:1.16.5-1.3
autotools-dev	20220109.1
base-files	12ubuntu4.4
base-passwd	3.5.52build1
bash	5.1-6ubuntu1
bash-completion	1:2.11-5ubuntu1
bind9-dnsutils	1:9.18.18-0ubuntu0.22.04.1
bind9-host	1:9.18.18-0ubuntu0.22.04.1
bind9-libs:amd64	1:9.18.18-0ubuntu0.22.04.1
binutils	2.38-4ubuntu2.4
binutils-common:amd64	2.38-4ubuntu2.4
binutils-x86-64-linux-gnu	2.38-4ubuntu2.4
bsdextrautils	2.37.2-4ubuntu3
bsdutils	1:2.37.2-4ubuntu3
build-essential	12.9ubuntu3
busybox-static	1:1.30.1-7ubuntu3
byobu	5.133-1
bzip2	1.0.8-5build1
ca-certificates	20230311ubuntu0.22.04.1
cmake	3.22.1-1ubuntu1.22.04.1
cmake-data	3.22.1-1ubuntu1.22.04.1
code	1.84.0-1698839401
command-not-found	22.04.0
console-setup	1.205ubuntu3
console-setup-linux	1.205ubuntu3
coreutils	8.32-4.1ubuntu1
cpio	2.13+dfsg-7
cpp	4:11.2.0-1ubuntu1
cpp-11	11.4.0-1ubuntu1~22.04
cron	3.0pl1-137ubuntu3
curl	7.81.0-1ubuntu1.15
dash	0.5.11+git20210903+057cd650a4ed-3build1
dbus	1.12.20-2ubuntu4.1
dbus-x11	1.12.20-2ubuntu4.1
dconf-gsettings-backend:amd64	0.40.0-3
dconf-service	0.40.0-3
debconf	1.5.79ubuntu1
debconf-i18n	1.5.79ubuntu1
debianutils	5.5-1ubuntu2
dh-elpa-helper	2.0.9ubuntu1
diffutils	1:3.8-0ubuntu2
dirmngr	2.2.27-3ubuntu2.1
distro-info	1.1ubuntu0.1
distro-info-data	0.52ubuntu0.5
dmidecode	3.3-3ubuntu0.1
dmsetup	2:1.02.175-2.1ubuntu4
dosfstools	4.2-1build3
dpkg	1.21.1ubuntu2.2
